gene_name	uniprot_url	uniprot_id
CDKN2B	https://www.uniprot.org/uniprotkb/P42772/entry	P42772
TCF7L2	https://www.uniprot.org/uniprotkb/Q9NQB0/entry	Q9NQB0
CDKAL1	https://www.uniprot.org/uniprotkb/Q5VV42/entry	Q5VV42
CDKN1C	https://www.uniprot.org/uniprotkb/P49918/entry	P49918
IGF2BP2	https://www.uniprot.org/uniprotkb/Q9Y6M1/entry	Q9Y6M1
FTO	https://www.uniprot.org/uniprotkb/Q9C0B1/entry	Q9C0B1
SLC30A8	https://www.uniprot.org/uniprotkb/Q8IWU4/entry	Q8IWU4
CCND2	https://www.uniprot.org/uniprotkb/P30279/entry	P30279
HHEX	https://www.uniprot.org/uniprotkb/Q03014/entry	Q03014
PAX4	https://www.uniprot.org/uniprotkb/O43316/entry	O43316
CDC123	https://www.uniprot.org/uniprotkb/O75794/entry	O75794
ANK1	https://www.uniprot.org/uniprotkb/P16157/entry	P16157
JAZF1	https://www.uniprot.org/uniprotkb/Q86VZ6/entry	Q86VZ6
GRB14	https://www.uniprot.org/uniprotkb/Q14449/entry	Q14449
SPRY2	https://www.uniprot.org/uniprotkb/O43597/entry	O43597
HNF1B	https://www.uniprot.org/uniprotkb/P35680/entry	P35680
IRS1	https://www.uniprot.org/uniprotkb/P35568/entry	P35568
MTNR1B	https://www.uniprot.org/uniprotkb/P49286/entry	P49286
WFS1	https://www.uniprot.org/uniprotkb/O76024/entry	O76024
GPSM1	https://www.uniprot.org/uniprotkb/Q86YR5/entry	Q86YR5
ADCY5	https://www.uniprot.org/uniprotkb/O95622/entry	O95622
ZFP36L2	https://www.uniprot.org/uniprotkb/P47974/entry	P47974
ARAP1	https://www.uniprot.org/uniprotkb/Q96P48/entry	Q96P48
HMG20A	https://www.uniprot.org/uniprotkb/Q9NP66/entry	Q9NP66
DUSP9	https://www.uniprot.org/uniprotkb/Q99956/entry	Q99956
EML2	https://www.uniprot.org/uniprotkb/O95834/entry	O95834
MACF1	https://www.uniprot.org/uniprotkb/Q9UPN3/entry	Q9UPN3
UBE2E2	https://www.uniprot.org/uniprotkb/Q96LR5/entry	Q96LR5
TLE1	https://www.uniprot.org/uniprotkb/Q04724/entry	Q04724
