Chromosome	Position	iHS Score	Mean iHS	Std iHS	Population
10	12260019	0.587437	7.6355e-10	0.999971	GIH
10	12260019	0.500097	7.40331e-10	0.999972	PJL
10	94477219	0.998158	7.6355e-10	0.999971	GIH
10	94477219	1.03585	7.40331e-10	0.999972	PJL
10	114758349	0.0923244	7.6355e-10	0.999971	GIH
10	114758349	-0.434046	7.40331e-10	0.999972	PJL
11	2857897	-0.0162269	3.83258e-10	0.99997	GIH
11	2857897	-0.123857	2.21996e-09	0.99997	PJL
11	69454707	-1.38354	3.83258e-10	0.99997	GIH
11	69454707	-1.32618	2.21996e-09	0.99997	PJL
11	92708710	0.00592878	3.83258e-10	0.99997	GIH
11	92708710	0.354157	2.21996e-09	0.99997	PJL
16	53803574	0.257804	5.75677e-10	0.999952	GIH
16	53803574	0.875236	-8.92199e-09	0.999953	PJL
17	36103565	0.866441	1.17272e-09	0.999945	GIH
17	36103565	0.566953	1.42535e-09	0.999946	PJL
2	165508389	-2.00487	-6.84859e-10	0.999982	GIH
2	165508389	-2.20164	4.91383e-09	0.999982	PJL
2	227092405	-0.230239	-6.84859e-10	0.999982	GIH
2	227092405	-0.560129	4.91383e-09	0.999982	PJL
20	42999630	-0.0673474	-6.03944e-09	0.999931	GIH
20	42999630	-0.0302864	4.24441e-09	0.999932	PJL
3	12393125	-0.32112	-5.34079e-10	0.999979	GIH
3	12393125	-0.310415	5.00356e-09	0.99998	PJL
3	23261334	1.0756	-5.34079e-10	0.999979	GIH
3	23261334	1.42125	5.00356e-09	0.99998	PJL
3	123087916	1.90929	-5.34079e-10	0.999979	GIH
3	123087916	1.71128	5.00356e-09	0.99998	PJL
3	185511687	-1.48686	-5.34079e-10	0.999979	GIH
3	185511687	-1.9721	5.00356e-09	0.99998	PJL
6	20675792	-0.497978	-6.2003e-10	0.999978	GIH
6	20675792	0.107123	-2.38225e-09	0.999979	PJL
7	15064896	0.0407426	-5.61562e-09	0.999975	GIH
7	15064896	0.101137	-5.70066e-09	0.999975	PJL
8	41507350	-0.490154	-9.04638e-09	0.999973	GIH
8	41507350	0.20504	-2.12338e-09	0.999974	PJL
8	118191475	1.09052	-9.04638e-09	0.999973	GIH
8	118191475	1.17157	-2.12338e-09	0.999974	PJL
9	4290085	1.567	7.126e-09	0.999966	GIH
9	4290085	1.22131	-2.95351e-10	0.999967	PJL
9	22134253	-1.61742	7.126e-09	0.999966	GIH
9	22134253	-1.81427	-2.95351e-10	0.999967	PJL
9	139245460	-0.142789	7.126e-09	0.999966	GIH
9	139245460	0.120129	-2.95351e-10	0.999967	PJL
